#Table1
plate,mjd,fiberid,[OIII] 5007 flux,[OIII] 5007 flux err,Hbeta flux,Hbeta flux err,Halpha flux,Halpha flux err,[NII] 6583 flux,[NII] 6583 flux err
776,52319,387,104.7734,7.689673,56.22433,6.157761,210.4958,10.46679,246.3037,11.51325
1001,52670,567,287.9846,11.15181,1364.025,16.81256,7176.116,55.58834,3233.772,28.55981
1742,53053,462,360.2298,8.372718,1132.099,13.57116,4102.184,32.12367,1350.743,13.25937
1983,53442,82,1355.455,19.13052,811.5004,12.39781,2749.054,25.41222,568.36,10.35114
1983,53442,267,284.6534,9.465399,727.3481,11.77892,2336.337,24.27953,805.7728,11.60823
1984,53433,44,140.0379,10.10264,121.418,8.558307,384.743,14.45715,350.5291,14.18556
2660,54504,442,61.82277,3.742837,372.3912,5.611907,1385.206,12.57217,579.8856,6.865386
2660,54504,446,599.7603,11.40984,530.2423,10.16457,2006.124,22.44577,1419.034,18.44194
2660,54504,463,54.69788,4.31772,16.87301,2.872849,48.38818,4.218161,39.3265,4.644541
655,52162,230,354.336,5.899249,432.2445,5.984982,1476.273,11.85661,691.6788,6.81437
655,52162,341,3904.738,26.9887,2039.811,14.67634,7974.744,50.51664,1267.244,9.134955
655,52162,468,71.53233,4.42959,413.0907,5.732159,2447.538,16.74028,901.051,8.385711
656,52148,117,95.74272,8.58252,73.97823,7.00597,375.0424,12.34233,482.0188,13.66698
656,52148,404,84.81606,8.993243,30.12839,5.593523,93.56311,7.616985,162.5916,10.26352
910,52377,489,92.90167,7.545059,112.7672,5.905461,482.8284,10.69371,488.6393,11.96122
910,52377,585,149.3976,6.389229,293.0728,6.503531,1173.12,13.38056,532.6129,9.15239
1093,52591,584,798.7475,8.920508,639.9042,6.664702,5375.523,33.03584,4637.587,24.4708
1272,52989,541,45.82301,5.227215,67.11811,5.159817,287.9997,8.212337,200.7984,7.591055
1274,52995,44,1805.494,19.6095,1681.112,16.88135,5893.5,46.30551,1230.225,12.35917
1276,53035,570,2802.678,26.38851,921.8132,11.41701,2819.223,26.41372,210.3562,4.953124
1447,53120,595,869.8339,16.03332,293.9069,9.434753,1650.313,27.08217,1309.402,24.1893
1449,53116,103,8187.16,54.52469,1325.873,16.7265,5324.914,43.35706,4272.667,32.47322
1449,53116,338,59.03924,6.789708,149.9664,6.254695,648.8548,12.00667,354.0648,10.72542
1722,53852,613,331.7876,5.248261,685.0901,6.675408,2903.828,17.24211,1454.479,9.127866
