plate,mjd,fiberid,Hbeta flux,Hbeta flux err,redshift
1158,52668,359,261.0046,7.777082,0.1626487
1159,52669,65,261.4418,5.819558,0.2383302
1160,52674,171,1043.19,12.22807,0.1492429
1162,52668,141,403.3725,5.533468,0.2520696
1318,52781,201,281.1324,9.629169,0.1605687
1318,52781,42,473.7039,6.808935,0.2985226
1777,53857,612,299.8891,7.105642,0.2141182
2649,54212,215,2140.768,24.43323,0.1266571
793,52370,127,33.50986,5.542194,0.2023347
1673,53462,108,2303.882,11.3692,0.2206272
1673,53462,598,188.0252,4.08542,0.2454427
1772,53089,77,3027.972,21.20973,0.1139307
1771,53498,353,81.94311,4.004007,0.2522766
1773,53112,333,929.8559,9.956635,0.1649692
1776,53858,28,125.221,5.43926,0.2828774
1778,53883,350,173.6967,4.195192,0.2591701
1708,53503,400,238.5981,9.5234,0.1972754
2006,53476,618,1308.8,16.27106,0.1863378
1048,52736,589,852.7242,11.2888,0.2081537
1050,52721,458,1546.94,14.40274,0.1993452
1050,52721,584,145.867,6.800054,0.1763156
1044,52468,368,1157.279,11.83068,0.1746438
1350,52786,204,160.9789,5.789007,0.2472644
1381,53089,326,312.3458,5.70689,0.2489426
2243,53794,585,54.28283,4.12951,0.284118
